Eye Ratio,Nose And Shoulder Angle,Y Angle,X Angle,Eye Angle,Label
0.8997363689,54.110965183,90.43117526,-177.21046019,116.09050978,0
1.0539584361,52.949046908,88.949913231,-178.3068371,120.94076957,0
1.1371010154,52.301371022,88.525176076,-178.8691354,124.84620539,0
1.1457772428,52.040988531,88.755488872,-179.28670418,127.36276972,0
1.1654728772,52.142174164,88.891925283,-179.70220635,129.59969013,0
1.1960308517,52.144883952,88.809298476,-179.97442682,130.41089626,0
1.2000214296,52.052607374,88.807569498,179.89851359,132.27349851,0
1.20713734,52.060363157,88.824478781,179.88308677,133.37437382,0
1.2123826044,52.016176205,88.864764328,179.83541623,133.91584825,0
1.216907281,52.061066478,88.879618299,179.76975084,134.80849955,0
1.2201794458,52.053981562,88.882480693,179.75797746,135.82656687,0
1.2263254489,52.050825331,88.838731268,179.70586058,136.15976938,0
1.2270623759,51.990872798,88.857914554,179.71127646,136.91588179,0
1.223210893,51.986465558,88.904906865,179.72969707,137.23369947,0
1.2278347558,51.794584228,88.922937459,179.78663554,139.23040624,0
1.2115424415,51.762243741,89.057148961,179.80172048,139.66318124,0
1.2132529614,51.56993303,89.053156113,179.89484128,141.10075618,0
1.2059821198,51.389267042,89.109251114,179.87811712,143.09009425,0
1.2061905637,51.300768724,89.108654434,179.98214981,143.45737054,0
1.1570702091,51.196301126,89.427467789,179.97060937,144.30187836,0
1.1440471174,51.180044031,89.517115007,179.93355198,143.6297691,0
1.1237201012,50.957335932,89.620990765,179.90018152,144.57683348,0
1.1234673989,50.882511226,89.619796783,179.95238835,144.61484977,0
1.0975561478,50.829705086,89.79204547,179.96873758,144.96998262,0
1.1079703918,50.68498448,89.709885917,179.96390658,144.98718309,0
1.0788271002,50.724507171,89.921234232,179.99510912,144.48558647,0
1.0606698647,50.670485196,90.062533672,179.94065293,144.16183478,0
1.06144212,50.506809366,90.080705882,179.90555008,144.48500683,0
1.0740254878,50.492321535,89.965150387,179.92025544,144.34088786,0
1.0946808939,50.442491168,89.966716417,179.94119414,144.4087481,0
1.1240252394,50.497645005,89.794510116,179.9664832,143.85507162,0
1.1634954434,50.594864125,89.559865353,-179.99457397,142.77473602,0
1.1180922148,50.484091432,89.859796515,179.99396466,143.11108679,0
1.0594560678,50.449077331,90.23779577,-179.99914373,141.38941529,0
1.0336242866,50.445024173,90.450985159,-179.98061322,140.5641954,0
0.9685109311,50.625291866,90.830241022,179.99083176,138.47223089,0
0.9693180416,50.773059561,90.855503852,-179.99696985,136.90311078,0
1.0119793366,51.086351185,90.537862857,-179.91798215,134.06671244,0
1.0144264508,51.22796839,90.514822696,179.99510935,132.91791097,0
1.1184665391,51.455612208,89.625530132,179.99984436,130.91081658,0
1.1488033862,51.760268065,89.289251588,179.97849314,127.75589496,0
1.1432319978,51.896290427,89.298556247,179.9363701,127.08388152,0
1.141645719,52.442964024,89.147160405,179.94029501,122.42719058,0
1.1536093479,54.117030222,88.863914936,179.86229516,111.85918227,0
1.1658501712,54.470533814,88.692588027,179.83422304,110.82988258,0
1.1819087057,54.982345825,88.540510672,179.99130552,108.20127352,0
1.2123587529,55.603277108,88.201893379,179.96371249,105.60125196,0
1.2184607931,56.576678919,88.233323395,179.93515303,102.85692445,0
1.1823979899,56.631904229,88.66082778,179.89177304,104.89096293,0
1.1816084499,57.510644278,88.549812385,179.84410288,102.78111485,0
1.1935886076,58.566978225,88.437478793,179.88943738,98.751465543,0
1.182239451,58.716540516,88.44132415,179.8676205,96.975738353,0
1.1876724923,58.520313064,88.374620253,179.90479951,97.312746099,0
1.1863989793,58.48007071,88.3609526,179.94774118,97.270274258,0
1.1712290646,58.166010831,88.521755627,179.87030574,98.895153573,0
1.1381714473,57.471127648,88.893195672,179.77388043,102.46168347,0
1.1268238991,57.644831996,88.90623306,179.61269982,101.47416081,0
1.1393948521,58.830562852,88.753178834,179.58745224,95.094429312,0
1.1058461264,59.883198182,89.207252338,179.62589082,90.477492064,0
1.1206737713,61.238796713,89.182712686,179.68349531,86.403176368,0
1.1310741788,62.641122279,89.098996323,179.72497014,82.948869491,0
1.136067967,62.816966902,89.026115534,179.86475893,83.263570205,0
1.1410328257,62.730480214,89.020483902,179.93190947,83.949032261,0
1.1449511882,62.810151696,88.970104225,-179.96729215,84.069901364,0
1.0753318411,62.878744155,90.082759921,-179.81128285,84.501370635,0
1.0257310517,61.821214115,90.761551864,-179.83717207,88.096274552,0
1.0290213663,61.540450877,90.698295793,-179.74968899,89.699851613,0
1.031698535,61.548953862,90.649702637,-179.75546057,89.827672913,0
1.0308911932,61.509944291,90.770358976,-179.74744398,90.451056945,0
1.0337286736,61.325732263,90.71192562,-179.7104999,91.15668009,0
1.0331699471,61.330973457,90.738195303,-179.7266802,91.18197314,0
1.0346962271,60.950439934,90.723618531,-179.66334619,92.745785913,0
1.029532201,60.612912335,90.721649777,-179.63447317,93.971840461,0
1.0254089573,60.588420648,90.710200103,-179.60542779,94.156587629,0
1.0170201144,60.594785312,90.776390589,-179.54747732,94.338025211,0
1.0144670163,60.591662025,90.800134816,-179.5435472,94.648255181,0
