Nose And Shoulder Angle,Eye Angle,Label
66.796947219,90.838180822,0
65.506169938,93.735015757,0
63.674868633,99.736401658,0
62.662730451,101.79617375,0
61.998722892,103.94920747,0
62.038348286,103.76464832,0
62.129923729,103.44905895,0
61.975585547,103.10322781,0
61.969448379,102.71244471,0
61.939076853,101.96694808,0
61.836509655,101.34728644,0
61.714181843,101.14366881,0
61.690175635,101.05466746,0
61.730546345,101.2507203,0
62.312363458,98.584787739,0
62.575949851,97.72509084,0
62.621583765,97.681812746,0
62.275976104,98.81102437,0
61.976621934,99.492625089,0
62.11098559,99.077364296,0
62.03399085,99.459346453,0
62.003047669,99.706826603,0
62.066578606,99.561738982,0
62.054919508,99.993373758,0
61.866016537,100.83275328,0
61.691878868,101.72735243,0
61.614336459,102.02923596,0
61.702915901,101.48226658,0
61.793451761,102.16203646,0
61.699911768,102.53175676,0
61.825450346,101.71593862,0
62.008877628,101.19084419,0
61.971152091,100.76154213,0
61.998123293,100.84647062,0
62.066036342,100.69642443,0
62.087926455,100.56362919,0
62.126977112,100.05932384,0
61.963971292,100.70593089,0
61.858906306,100.78291576,0
61.869073973,100.83029887,0
61.652199461,101.62182126,0
61.646340446,101.62403392,0
61.595099987,101.66565468,0
61.599760617,101.02071052,0
61.626516773,101.05647,0
61.649551947,101.153371,0
61.797473858,100.60996746,0
62.01450898,99.917751533,0
62.231328203,99.188604613,0
62.637907365,97.906382762,0
62.9084872,96.746365177,0
62.922940713,97.174129138,0
63.0186599,96.96142816,0
62.872064961,97.678529119,0
62.579410169,99.051112211,0
62.434902284,99.660213553,0
62.353619304,99.704517965,0
62.299407633,99.908789074,0
62.310699612,99.816949138,0
62.319101103,99.699873084,0
62.10280594,100.18705036,0
61.678514542,101.87102044,0
61.326042031,103.25683884,0
61.139204952,103.28296048,0
60.943459524,103.55672208,0
60.83724625,103.3625607,0
60.793549587,102.93275793,0
60.760551153,102.74001838,0
60.740110883,102.73445849,0
60.83609598,102.10716309,0
61.320275645,99.525282548,0
61.264870879,99.347008111,0
61.172161279,99.312705313,0
61.142585301,99.369547278,0
61.163089016,99.360649875,0
60.9743249,99.609940992,0
60.995715599,99.759268983,0
60.993284829,100.11969732,0
60.975149631,100.32470455,0
60.991418239,100.60827287,0
60.917474707,101.82337087,0
60.881448507,101.84679015,0
60.827841738,101.7975491,0
60.552783802,102.89365591,0
60.331395989,103.66160211,0
60.262311631,103.71935043,0
60.160337398,104.20367721,0
60.120851859,104.69642451,0
60.092584887,104.8653218,0
60.770598524,101.90522054,0
61.625901275,98.949941805,0
62.762658963,94.869008452,0
63.072174389,94.189294129,0
63.271079423,94.027209224,0
63.293041464,94.489489035,0
63.341581424,95.19779735,0
63.42006451,95.086554254,0
63.388903483,94.972173765,0
63.429245987,94.882217133,0
63.445933418,94.638211985,0
63.53181581,94.396424713,0
63.482234521,94.462435061,0
63.418112672,94.59209104,0
63.398391041,94.473797404,0
63.386872001,94.403794302,0
64.380083012,90.858632039,0
64.60248307,90.435129166,0
64.573398428,90.566931562,0
64.576240532,90.515434936,0
64.502454651,91.13502161,0
64.511449807,91.016300374,0
64.683775853,90.343372282,0
64.671626875,90.482497901,0
64.683883646,91.615791043,0
64.628106299,92.081855376,0
64.666996563,92.466969352,0
64.726117148,92.734981541,0
64.778628844,92.885948358,0
64.81753182,93.021845541,0
64.335572264,94.862731096,0
64.123619365,95.839413238,0
64.208630475,95.08364884,0
64.279896917,94.669470508,0
64.372523637,94.60711304,0
64.453912093,94.550105843,0
64.822900686,93.067904985,0
65.102696985,92.036261481,0
65.179117914,92.024767932,0
65.17094648,92.26665611,0
65.163119183,92.423344675,0
64.976887396,93.390261953,0
64.819204659,94.158396501,0
65.359063306,92.588124258,0
65.644049018,91.773086486,0
65.437752723,92.534484381,0
65.325908764,92.956369923,0
65.2716229,92.224614386,0
65.239491329,91.681591114,0
65.729398034,88.390007176,0
66.751572856,84.150559955,0
